Rank,Run,Molecule,smiles,raw_label,label
372,3,EN300-26619500_1,CC(C)(C)NC(=O)[C@H](c1cccnc1)N(CCc2nc3ncc(cn3n2)N(=O)=O)C(=O)c4ccco4,1.1 ± 0.3,1.1
222,4,EN300-26619500_2,CC(C)(C)NC(=O)[C@@H](c1cccnc1)N(CCc2nc3ncc(cn3n2)N(=O)=O)C(=O)c4ccco4,0.6 ± 0.4,0.6
996,5,EN300-7493272_2,CC(C)(C)NC(=O)[C@@H](c1cccnc1)N([C@@H]2C[C@H]([C@@H](C2)OC)O)C(=O)c3ccco3,2.6 ± 0.2,2.6
176,6,EN300-7464663_1,CC(C)(C)NC(=O)[C@H](c1cccnc1)N(CC2CC(=C3CCC3)C2)C(=O)c4ccco4,0.5 ± 0.2,0.5
107,7,EN300-7464663_2,CC(C)(C)NC(=O)[C@@H](c1cccnc1)N(CC2CC(=C3CCC3)C2)C(=O)c4ccco4,0.1 ± 0.2,0.1
1004,8,EN300-7463937_3,CC(C)(C)NC(=O)[C@H](c1cccnc1)N([C@H]2CCCC3(CC2)CC3)C(=O)c4ccco4,2.7 ± 0.1,2.7
782,9,EN300-7463937_2,CC(C)(C)NC(=O)[C@@H](c1cccnc1)N([C@@H]2CCCC3(CC2)CC3)C(=O)c4ccco4,2.1 ± 0.1,2.1
588,10,EN300-7494542_2,CC(C)(C)NC(=O)[C@H](c1cccnc1)N(C[C@@H](CC#C)C2CC2)C(=O)c3ccco3,1.7 ± 0.2,1.7
735,12,EN300-26667981_2,CC(NC(=O)[C@H](N(C(=O)c1occc1)C[C@H]2C[C@@H](C2)SC)c3cnccc3)(C)C,2.0 ± 0.1,2.0
526,13,EN300-26667981_1,CC(NC(=O)[C@@H](N(C(=O)c1occc1)C[C@H]2C[C@@H](C2)SC)c3cnccc3)(C)C,1.6 ± 0.1,1.6
717,14,EN300-7463937_1,CC(C)(C)NC(=O)[C@H](c1cccnc1)N([C@@H]2CCCC3(CC2)CC3)C(=O)c4ccco4,2.0 ± 0.1,2.0
141,15,EN300-7540903_14,CC(C)(C)NC(=O)[C@@H](c1cccnc1)N([C@@H]2CC[C@@H]3[C@@]2(C3)CO)C(=O)c4ccco4,0.3 ± 0.2,0.3
138,16,EN300-7540903_4,CC(C)(C)NC(=O)[C@@H](c1cccnc1)N([C@H]2CC[C@H]3[C@]2(C3)CO)C(=O)c4ccco4,0.3 ± 0.2,0.3
1465,18,EN300-26658513_7,CC(C)(C)NC(=O)[C@H](c1cccnc1)N([C@H]2CC3([C@H]2OCc4ccccc4)CCC3)C(=O)c5ccco5,3.9 ± 0.3,3.9
215,19,EN300-7494542_4,CC(C)(C)NC(=O)[C@@H](c1cccnc1)N(C[C@@H](CC#C)C2CC2)C(=O)c3ccco3,0.6 ± 0.2,0.6
680,20,EN300-7494542_3,CC(C)(C)NC(=O)[C@@H](c1cccnc1)N(C[C@H](CC#C)C2CC2)C(=O)c3ccco3,1.9 ± 0.2,1.9
586,21,EN300-7494542_1,CC(C)(C)NC(=O)[C@H](c1cccnc1)N(C[C@H](CC#C)C2CC2)C(=O)c3ccco3,1.7 ± 0.2,1.7
752,22,EN300-7463937_4,CC(C)(C)NC(=O)[C@@H](c1cccnc1)N([C@H]2CCCC3(CC2)CC3)C(=O)c4ccco4,2.1 ± 0.1,2.1
108,23,EN300-7540903_15,CC(C)(C)NC(=O)[C@H](c1cccnc1)N([C@H]2CC[C@@H]3[C@@]2(C3)CO)C(=O)c4ccco4,0.1 ± 0.2,0.1
1088,24,EN300-7540903_13,CC(C)(C)NC(=O)[C@H](c1cccnc1)N([C@@H]2CC[C@@H]3[C@@]2(C3)CO)C(=O)c4ccco4,2.8 ± 0.2,2.8
